frame,time_s,status,det_found,det_conf,det_cx,det_cy,det_area,det_x1,det_y1,det_x2,det_y2,trk_ok,trk_cx,trk_cy,trk_x1,trk_y1,trk_x2,trk_y2,iou,det_ms,sharpness,brightness
122,4.082,AGREE,1,0.9603,1023.64,690.09,106544.5,858.8,528.5,1188.48,851.67,1,1022.5,692.5,851.0,526.0,1194.0,859.0,0.9328,23.49,96.47,155.5
123,4.115,AGREE,1,0.9602,1023.74,689.96,106496.9,858.96,528.39,1188.52,851.54,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9324,23.56,93.3,155.51
124,4.148,AGREE,1,0.9611,1023.81,690.37,106477.7,859.02,528.84,1188.61,851.9,1,1023.0,693.0,855.0,530.0,1191.0,856.0,0.9652,23.47,95.33,155.48
125,4.182,AGREE,1,0.9621,1023.73,690.87,106251.2,859.01,529.6,1188.44,852.13,1,1022.5,692.5,851.0,526.0,1194.0,859.0,0.9302,23.52,95.66,155.41
126,4.215,AGREE,1,0.9617,1023.49,691.21,106211.7,858.91,529.87,1188.06,852.56,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9299,23.25,98.21,155.34
127,4.249,AGREE,1,0.9614,1023.55,691.0,105996.4,859.08,529.88,1188.02,852.12,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.928,22.2,100.6,155.28
128,4.282,AGREE,1,0.9596,1023.47,690.61,105954.3,859.01,529.54,1187.92,851.68,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9276,21.99,97.88,155.27
129,4.316,AGREE,1,0.9612,1023.39,690.56,105957.7,858.94,529.48,1187.83,851.65,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9277,24.27,100.64,155.31
130,4.349,AGREE,1,0.9606,1023.58,690.4,106057.8,859.09,529.21,1188.07,851.59,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9285,24.19,108.2,155.43
131,4.383,AGREE,1,0.9613,1023.62,690.49,106227.5,858.99,529.18,1188.25,851.8,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.93,23.4,109.12,155.49
132,4.416,AGREE,1,0.9615,1023.59,690.56,106094.3,859.14,529.28,1188.05,851.84,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9289,23.59,105.08,155.53
133,4.45,AGREE,1,0.9614,1023.58,690.45,106076.3,859.2,529.12,1187.96,851.78,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9287,21.35,104.08,155.52
134,4.483,AGREE,1,0.9608,1023.65,690.18,106188.8,859.13,528.82,1188.16,851.55,1,1022.5,692.5,851.0,526.0,1194.0,859.0,0.9297,21.34,104.22,155.55
135,4.516,AGREE,1,0.9609,1023.58,690.22,106153.0,859.11,528.86,1188.05,851.58,1,1022.5,692.5,851.0,526.0,1194.0,859.0,0.9294,21.21,109.12,155.54
136,4.55,AGREE,1,0.9597,1023.66,690.01,106158.6,859.13,528.7,1188.19,851.31,1,1022.5,692.5,851.0,526.0,1194.0,859.0,0.9294,21.89,103.42,155.52
137,4.583,AGREE,1,0.9599,1023.53,690.3,106135.2,858.95,529.08,1188.12,851.51,1,1022.5,692.5,851.0,526.0,1194.0,859.0,0.9292,19.52,105.53,155.51
138,4.617,AGREE,1,0.9593,1023.51,690.12,106021.3,858.99,529.01,1188.03,851.23,1,1022.5,692.5,851.0,526.0,1194.0,859.0,0.9282,20.04,102.61,155.5
139,4.65,AGREE,1,0.9597,1023.63,690.18,106034.9,859.19,528.98,1188.08,851.39,1,1022.5,692.5,851.0,526.0,1194.0,859.0,0.9283,17.66,105.97,155.49
140,4.684,AGREE,1,0.9602,1023.95,690.29,105967.8,859.53,529.16,1188.36,851.42,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9278,21.79,110.18,155.39
141,4.717,AGREE,1,0.9598,1023.74,690.42,106046.9,859.32,529.18,1188.17,851.66,1,1023.0,693.0,855.0,530.0,1191.0,856.0,0.9633,19.53,113.89,155.32
142,4.751,AGREE,1,0.9602,1023.88,690.56,106064.3,859.32,529.42,1188.44,851.69,1,1022.5,693.5,851.0,527.0,1194.0,860.0,0.9286,17.91,111.77,155.3
