frame,time_s,status,det_found,det_conf,det_cx,det_cy,det_area,det_x1,det_y1,det_x2,det_y2,trk_ok,trk_cx,trk_cy,trk_x1,trk_y1,trk_x2,trk_y2,iou,det_ms,sharpness,brightness
111,3.699,AGREE,1,0.9563,1116.0,627.52,96765.9,959.25,473.19,1272.75,781.85,1,1122.5,627.0,972.0,481.0,1273.0,773.0,0.9069,17.83,57.09,54.92
112,3.732,AGREE,1,0.9418,1115.1,627.31,96037.9,959.0,473.5,1271.2,781.12,1,1121.5,628.0,974.0,485.0,1269.0,771.0,0.8785,21.37,54.5,55.19
113,3.766,AGREE,1,0.9102,1119.21,627.37,97924.3,959.62,473.96,1278.79,780.77,1,1120.5,628.0,970.0,482.0,1271.0,774.0,0.8976,18.07,58.11,55.4
114,3.799,AGREE,1,0.8084,1108.37,628.2,90730.6,960.4,474.9,1256.34,781.49,1,1118.5,627.0,971.0,484.0,1266.0,770.0,0.8729,17.14,60.45,55.87
115,3.832,AGREE,1,0.8566,1112.39,627.6,92403.8,962.31,473.67,1262.46,781.53,1,1118.5,623.5,974.0,483.0,1263.0,764.0,0.8758,21.98,63.37,56.77
116,3.866,AGREE,1,0.9038,1096.47,623.64,81464.3,962.07,472.12,1230.88,775.17,1,1116.0,619.0,977.0,484.0,1255.0,754.0,0.7792,17.74,63.11,57.65
117,3.899,AGREE,1,0.9289,1084.74,619.02,75541.0,960.13,467.48,1209.36,770.57,1,1110.0,615.0,971.0,480.0,1249.0,750.0,0.7462,20.58,61.47,58.35
118,3.932,AGREE,1,0.9455,1107.55,618.02,89195.0,959.22,467.69,1255.88,768.35,1,1111.0,612.5,975.0,480.0,1247.0,745.0,0.8081,17.54,63.14,59.05
119,3.966,AGREE,1,0.9369,1106.76,618.13,87738.0,961.58,467.04,1251.94,769.22,1,1112.5,611.5,979.0,482.0,1246.0,741.0,0.7882,17.25,67.21,59.77
120,3.999,AGREE,1,0.9148,1107.6,618.1,86371.2,965.02,466.65,1250.18,769.54,1,1116.0,611.0,985.0,484.0,1247.0,738.0,0.7705,19.24,74.66,60.58
121,4.032,AGREE,1,0.9356,1110.34,618.38,86133.5,968.12,466.97,1252.56,769.79,1,1119.0,610.0,988.0,483.0,1250.0,737.0,0.7726,18.33,75.73,61.22
122,4.065,AGREE,1,0.9393,1111.68,617.9,85578.8,970.3,466.57,1253.05,769.23,1,1122.5,610.5,994.0,486.0,1251.0,735.0,0.7478,23.43,79.21,61.78
123,4.099,AGREE,1,0.9455,1113.81,616.42,85634.8,971.99,465.47,1255.64,767.37,1,1123.5,609.5,995.0,485.0,1252.0,734.0,0.7473,18.67,79.63,62.43
124,4.132,AGREE,1,0.9368,1113.73,614.8,85249.4,971.87,464.57,1255.59,765.03,1,1125.5,608.5,997.0,484.0,1254.0,733.0,0.7507,22.26,78.1,62.95
125,4.165,AGREE,1,0.9304,1113.13,613.95,85106.6,971.46,463.77,1254.8,764.14,1,1126.0,608.0,995.0,481.0,1257.0,735.0,0.7703,18.33,79.45,63.47
126,4.199,AGREE,1,0.9218,1099.32,612.8,76389.6,971.72,463.13,1226.91,762.47,1,1127.0,607.5,991.0,475.0,1263.0,740.0,0.7273,16.85,76.25,63.94
127,4.232,AGREE,1,0.9323,1092.07,612.02,72041.6,971.94,462.09,1212.19,761.95,1,1125.0,607.0,986.0,472.0,1264.0,742.0,0.7099,18.31,82.28,64.32
128,4.265,AGREE,1,0.9335,1090.03,611.9,70911.7,971.51,462.33,1208.56,761.48,1,1124.5,607.5,983.0,470.0,1266.0,745.0,0.7154,17.31,81.88,64.74
129,4.299,AGREE,1,0.9252,1094.88,610.58,74263.9,971.7,459.85,1218.06,761.3,1,1124.5,608.5,980.0,468.0,1269.0,749.0,0.7552,19.81,83.64,65.31
130,4.332,AGREE,1,0.9306,1096.01,610.12,74800.9,971.95,459.39,1220.08,760.85,1,1125.5,608.5,981.0,468.0,1270.0,749.0,0.7563,23.01,78.96,65.74
131,4.365,AGREE,1,0.9349,1087.23,609.19,70290.4,970.92,458.1,1203.54,760.27,1,1124.5,608.5,980.0,468.0,1269.0,749.0,0.7083,17.64,79.74,66.15
132,4.399,AGREE,1,0.9264,1090.07,608.51,73953.7,967.39,457.81,1212.75,759.22,1,1122.5,607.5,978.0,467.0,1267.0,748.0,0.7395,23.51,79.23,66.47
133,4.432,AGREE,1,0.9192,1089.59,607.47,75224.0,965.53,455.88,1213.65,759.06,1,1121.5,606.5,977.0,466.0,1266.0,747.0,0.7394,23.51,80.08,66.81
134,4.465,AGREE,1,0.9264,1089.36,607.96,75394.7,964.72,456.73,1213.99,759.19,1,1120.5,606.5,976.0,466.0,1265.0,747.0,0.7453,24.46,82.76,67.11
135,4.499,AGREE,1,0.9243,1087.56,608.33,74195.5,964.73,457.33,1210.4,759.34,1,1119.5,606.5,975.0,466.0,1264.0,747.0,0.7411,24.31,84.96,67.41
136,4.532,AGREE,1,0.929,1086.91,609.05,73498.9,965.56,457.63,1208.26,760.47,1,1120.5,606.5,976.0,466.0,1265.0,747.0,0.7297,23.94,85.79,67.74
137,4.565,AGREE,1,0.9405,1092.56,610.55,73504.4,971.03,459.34,1214.08,761.76,1,1125.5,608.5,981.0,468.0,1270.0,749.0,0.7341,23.23,83.92,68.09
138,4.599,AGREE,1,0.9386,1096.92,613.82,75098.2,974.19,460.85,1219.65,766.79,1,1129.5,611.5,988.0,474.0,1271.0,749.0,0.714,22.0,87.05,68.43
139,4.632,AGREE,1,0.9377,1098.14,615.35,75204.9,976.39,460.92,1219.88,769.78,1,1132.5,614.5,991.0,477.0,1274.0,752.0,0.6987,23.55,88.01,68.63
140,4.665,AGREE,1,0.8935,1107.08,616.55,81512.3,977.68,459.08,1236.48,774.03,1,1135.0,622.0,996.0,487.0,1274.0,757.0,0.7085,22.52,86.98,68.69
141,4.699,AGREE,1,0.8747,1123.58,619.85,91740.9,979.23,460.95,1267.92,778.74,1,1141.0,624.5,1005.0,492.0,1277.0,757.0,0.7401,16.75,87.57,68.75
142,4.732,AGREE,1,0.8836,1125.29,620.38,92292.0,980.39,461.15,1270.19,779.61,1,1144.5,624.5,1011.0,495.0,1278.0,754.0,0.7118,21.99,88.15,68.73
